operator_name,total_versions,latest_version,openshift_versions,last_update,has_ci_yaml,has_makefile,error
instana-agent,0,,,2021-09-28T16:10:20,True,False,
instana-agent-operator,49,2.1.29,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.5,v4.6,v4.7,v4.8,v4.9",2025-07-10T21:12:52,True,False,
intel-device-plugins-operator,7,0.32.1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-05-28T23:49:52,True,False,
intel-ethernet-operator,2,v1.0.0,"v4.10,v4.11,v4.12,v4.13,v4.9",2023-08-03T15:00:28,True,False,
intel-kubernetes-power-manager,2,v2.3.2,"v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2023-10-09T17:51:19,True,False,
iomesh-operator,0,,,2021-09-28T16:10:20,True,False,
ionir-operator,2,1.0.7,"v4.6,v4.7",2021-11-30T15:37:36,True,False,
isovalent-networking,3,v1.17.6-cee.1,"v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-07-16T08:26:39,True,True,
ivory-server-app,0,,,2021-09-28T16:10:20,True,False,
janusgraph-operator,0,,,2021-09-28T16:10:20,True,False,
jianwei-test-operator,1,v0.0.3,"v4.6,v4.7,v4.8,v4.9",2021-11-22T07:52:16,True,False,
jlh-operator,0,,,2021-09-28T16:10:20,True,False,
joget-dx-operator,15,0.0.36,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.5,v4.6,v4.7,v4.8,v4.9",2023-02-24T10:10:31,True,False,
joget-dx8-operator,14,0.0.14,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.8,v4.9",2024-05-31T11:20:58,True,False,
joget-openshift-operator,0,,,2021-09-28T16:10:20,True,False,
jtrac-app-operator,0,,,2021-09-28T16:10:20,True,False,
k8s-triliovault,48,5.0.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-06-03T17:48:20,True,True,
kauntlet,1,1.2.1,"v4.12,v4.13,v4.14,v4.15,v4.16",2024-09-09T04:55:58,True,False,
keysight-ati-updates,3,0.1.21,"v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.7,v4.8",2023-09-21T13:01:14,True,False,
